"search-number","evaluation","evals-requested-so-far","sun-brightness*","albedo*","cloud_counter_on_start*","co2_counter_on_start*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","150","500","1.6","0","6","0","""-192281804""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","151","500","2.8000000000000003","0.8500000000000001","18","25","""1751596523""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","152","500","2.8000000000000003","0.8500000000000001","18","25","""-1666968138""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","153","500","2.8000000000000003","0.8500000000000001","18","25","""1913678219""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","154","500","2.8000000000000003","0.8500000000000001","18","25","""-550642390""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","155","500","2.8000000000000003","0.8500000000000001","18","25","""511199588""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","156","500","2.8000000000000003","0.8500000000000001","18","25","""431248132""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","157","500","2.8000000000000003","0.8500000000000001","18","25","""-517801010""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","158","500","2.8000000000000003","0.8500000000000001","18","25","""1218426220""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","159","500","2.8000000000000003","0.8500000000000001","18","25","""777977699""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","160","500","2.8000000000000003","0.8500000000000001","18","25","""1502548948""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","161","500","0","0.30000000000000004","9","100","""1205067493""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","162","500","0","0.30000000000000004","9","100","""1395048073""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","163","500","0","0.30000000000000004","9","100","""-1669890088""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","164","500","0","0.30000000000000004","9","100","""1357560109""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","165","500","0","0.30000000000000004","9","100","""2085664603""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","166","500","0","0.30000000000000004","9","100","""-1539245843""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","167","500","0","0.30000000000000004","9","100","""242086604""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","168","500","0","0.30000000000000004","9","100","""1794312548""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","169","500","0","0.30000000000000004","9","100","""1597160080""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","170","500","0","0.30000000000000004","9","100","""72555466""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","171","500","1.8","0.75","6","25","""570672754""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","172","500","1.8","0.75","6","25","""-2058640537""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","173","500","1.8","0.75","6","25","""1510054143""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","174","500","1.8","0.75","6","25","""1503956716""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","175","500","1.8","0.75","6","25","""-3219545""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","176","500","1.8","0.75","6","25","""-619467350""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","177","500","1.8","0.75","6","25","""-1252698893""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","178","500","1.8","0.75","6","25","""-301495004""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","179","500","1.8","0.75","6","25","""1925433979""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","180","500","1.8","0.75","6","25","""991942419""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","181","500","0.4","0.30000000000000004","2","0","""-534848518""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","182","500","0.4","0.30000000000000004","2","0","""-416632389""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","183","500","0.4","0.30000000000000004","2","0","""1921644711""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","184","500","0.4","0.30000000000000004","2","0","""-1450933669""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","185","500","0.4","0.30000000000000004","2","0","""-465636008""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","186","500","0.4","0.30000000000000004","2","0","""2129141876""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","187","500","0.4","0.30000000000000004","2","0","""1287533601""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","188","500","0.4","0.30000000000000004","2","0","""505137711""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","189","500","0.4","0.30000000000000004","2","0","""-640298161""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","190","500","0.4","0.30000000000000004","2","0","""1821322156""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","191","500","4.6000000000000005","0.8500000000000001","17","150","""-679959894""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","192","500","4.6000000000000005","0.8500000000000001","17","150","""-872715883""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","193","500","4.6000000000000005","0.8500000000000001","17","150","""1286027869""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","194","500","4.6000000000000005","0.8500000000000001","17","150","""-1037410656""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","195","500","4.6000000000000005","0.8500000000000001","17","150","""-914280563""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","196","500","4.6000000000000005","0.8500000000000001","17","150","""-896685342""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","197","500","4.6000000000000005","0.8500000000000001","17","150","""-645088522""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","198","500","4.6000000000000005","0.8500000000000001","17","150","""-673481021""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","199","500","4.6000000000000005","0.8500000000000001","17","150","""1967185358""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","200","500","4.6000000000000005","0.8500000000000001","17","150","""1256720648""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","201","500","4.4","0.65","18","200","""1835360586""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","202","500","4.4","0.65","18","200","""1930682330""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","203","500","4.4","0.65","18","200","""-1032092571""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","204","500","4.4","0.65","18","200","""820232667""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","205","500","4.4","0.65","18","200","""-1817077088""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","206","500","4.4","0.65","18","200","""-611178502""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","207","500","4.4","0.65","18","200","""-2109493716""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","208","500","4.4","0.65","18","200","""954808663""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","209","500","4.4","0.65","18","200","""-17160554""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","210","500","4.4","0.65","18","200","""-2136314991""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","211","500","2.2","0.8","10","175","""-379035519""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","212","500","2.2","0.8","10","175","""893594259""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","213","500","2.2","0.8","10","175","""1695567344""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","214","500","2.2","0.8","10","175","""-992771355""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","215","500","2.2","0.8","10","175","""-751399469""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","216","500","2.2","0.8","10","175","""-681188084""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","217","500","2.2","0.8","10","175","""-215105895""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","218","500","2.2","0.8","10","175","""1320660176""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","219","500","2.2","0.8","10","175","""1555844852""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","220","500","2.2","0.8","10","175","""-1633180747""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","221","500","4.4","0.25","3","125","""-603352073""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","222","500","4.4","0.25","3","125","""699926505""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","223","500","4.4","0.25","3","125","""-1626910153""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","224","500","4.4","0.25","3","125","""-389208912""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","225","500","4.4","0.25","3","125","""-2082043438""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","226","500","4.4","0.25","3","125","""-1687941526""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","227","500","4.4","0.25","3","125","""196365632""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","228","500","4.4","0.25","3","125","""-1633278300""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","229","500","4.4","0.25","3","125","""-978421159""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","230","500","4.4","0.25","3","125","""-1500730840""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","231","500","4.4","0.9","5","200","""-282818565""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","232","500","4.4","0.9","5","200","""969433777""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","233","500","4.4","0.9","5","200","""1293086177""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","234","500","4.4","0.9","5","200","""1059517888""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","235","500","4.4","0.9","5","200","""-1572248095""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","236","500","4.4","0.9","5","200","""433549956""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","237","500","4.4","0.9","5","200","""919796927""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
"1","238","500","4.4","0.9","5","200","""1136841897""","11.999999999999998","11.999999999999998","11.999999999999998","0","11.999999999999998"
